work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,Entry-level,Full-time,Admin & Data Analyst,40000,USD,40000,India,Remote,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analytics Manager,27000,USD,27000,India,Remote,American Samoa,M,Leadership and Management
2024,Mid-level,Contract,AI Research Engineer,57000,EUR,63333,Croatia,Remote,Hungary,S,Data Science and Research
2023,Mid-level,Contract,AI Engineer,50000,USD,50000,Czechia,Remote,Canada,L,Machine Learning and AI
2023,Mid-level,Freelance,Data Science Consultant,21000,USD,21000,Pakistan,Remote,Luxembourg,S,Data Science and Research
2023,Entry-level,Full-time,BI Data Analyst,25000,USD,25000,Ukraine,Remote,Netherlands,M,Data Analysis
2023,Senior,Full-time,Business Data Analyst,65000,GBP,79976,Spain,Remote,Gibraltar,L,Data Analysis
2023,Entry-level,Full-time,Machine Learning Engineer,36000,USD,36000,Uganda,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,65000,EUR,70179,Italy,Remote,United States,L,Machine Learning and AI
2023,Mid-level,Full-time,Machine Learning Engineer,45000,EUR,48585,Italy,Remote,United Kingdom,M,Machine Learning and AI
2023,Mid-level,Full-time,Business Data Analyst,17000,USD,17000,Armenia,Remote,Russian Federation,L,Data Analysis
2023,Entry-level,Full-time,AI Engineer,35000,USD,35000,Croatia,Remote,Germany,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Operations Engineer,60000,USD,60000,Thailand,Remote,United States,L,Machine Learning and AI
2023,Entry-level,Full-time,Data Scientist,150000,PLN,34924,Türkiye,In-person,Poland,M,Data Science and Research
2023,Senior,Full-time,AI Programmer,120000,USD,120000,Canada,Remote,France,M,Machine Learning and AI
2023,Senior,Full-time,Data Science Manager,100000,EUR,107968,Philippines,Hybrid,Czechia,L,Data Science and Research
2022,Entry-level,Full-time,Machine Learning Scientist,80000,USD,80000,Canada,Hybrid,United States,S,Machine Learning and AI
2023,Entry-level,Full-time,Data Engineer,90000,USD,90000,United States,Hybrid,Canada,L,Data Engineering
2023,Mid-level,Contract,Business Data Analyst,35000,USD,35000,Philippines,Remote,United States,M,Data Analysis
2022,Mid-level,Contract,Applied Machine Learning Scientist,93000,EUR,97712,Italy,Remote,Netherlands,L,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Manager,120000,EUR,129562,Germany,Remote,United States,L,Machine Learning and AI
2023,Entry-level,Full-time,BI Data Analyst,85000,USD,85000,Canada,Remote,United States,M,Data Analysis
2023,Mid-level,Full-time,AI Research Engineer,150000,USD,150000,Tunisia,Remote,United States,M,Data Science and Research
2023,Mid-level,Full-time,Power BI Developer,60000,EUR,64781,Poland,Remote,Denmark,L,BI and Visualization
2023,Senior,Full-time,Data Engineer,80000,EUR,86374,Germany,Remote,Sweden,L,Data Engineering
2023,Executive,Full-time,AI Architect,200000,EUR,215936,Belgium,Remote,United States,L,Machine Learning and AI
2023,Mid-level,Full-time,Data Engineer,27000,USD,27000,Peru,Remote,Portugal,S,Data Engineering
2023,Senior,Full-time,Lead Machine Learning Engineer,115000,USD,115000,"Moldova, Republic of",Remote,Israel,S,Machine Learning and AI
2023,Senior,Full-time,AI Scientist,100000,USD,100000,Türkiye,Remote,United States,S,Machine Learning and AI
